Borough,Price
City of London,760253
Barking and Dagenham,233460
Barnet,478688
Bexley,274209
Brent,440952
Bromley,385682
Camden,787441
Croydon,307064
Ealing,438311
Enfield,335504
Greenwich,331849
Hackney,506799
Hammersmith and Fulham,760834
Haringey,480636
Harrow,408605
Havering,291845
Hillingdon,352748
Hounslow,351438
Islington,643148
Kensington and Chelsea,1302103
Kingston upon Thames,438003
Lambeth,471614
Lewisham,355050
Merton,457702
Newham,297558
Redbridge,343795
Richmond upon Thames,618778
Southwark,467868
Sutton,322932
Tower Hamlets,421944
Waltham Forest,357513
Wandsworth,572691
Westminster,964643
