Borough,Price
City of London,784809
Barking and Dagenham,295197
Barnet,533266
Bexley,342604
Brent,492845
Bromley,443410
Camden,842410
Croydon,370298
Ealing,480051
Enfield,396632
Greenwich,388344
Hackney,544640
Hammersmith and Fulham,725525
Haringey,551561
Harrow,465908
Havering,370249
Hillingdon,410266
Hounslow,396631
Islington,649824
Kensington and Chelsea,1363880
Kingston upon Thames,497091
Lambeth,511536
Lewisham,411629
Merton,512294
Newham,359022
Redbridge,422591
Richmond upon Thames,652666
Southwark,504235
Sutton,379263
Tower Hamlets,446500
Waltham Forest,440859
Wandsworth,596649
Westminster,1020026
