Borough,Price
City of London,829379
Barking and Dagenham,302143
Barnet,525780
Bexley,343045
Brent,485851
Bromley,434760
Camden,829863
Croydon,374985
Ealing,479629
Enfield,395992
Greenwich,395397
Hackney,582295
Hammersmith and Fulham,728445
Haringey,559653
Harrow,453345
Havering,370360
Hillingdon,409824
Hounslow,410288
Islington,662764
Kensington and Chelsea,1326363
Kingston upon Thames,490318
Lambeth,528241
Lewisham,422906
Merton,523837
Newham,371433
Redbridge,423290
Richmond upon Thames,680945
Southwark,510870
Sutton,378215
Tower Hamlets,464414
Waltham Forest,450012
Wandsworth,611611
Westminster,960469
