Borough,Price
City of London,849790
Barking and Dagenham,287735
Barnet,538281
Bexley,335694
Brent,487704
Bromley,441219
Camden,839348
Croydon,372554
Ealing,484592
Enfield,395929
Greenwich,391750
Hackney,549006
Hammersmith and Fulham,756900
Haringey,557307
Harrow,470763
Havering,360479
Hillingdon,413587
Hounslow,400904
Islington,650115
Kensington and Chelsea,1344540
Kingston upon Thames,492319
Lambeth,518504
Lewisham,411049
Merton,512186
Newham,362132
Redbridge,410300
Richmond upon Thames,665285
Southwark,515883
Sutton,376924
Tower Hamlets,459279
Waltham Forest,436117
Wandsworth,617921
Westminster,1064772
