Borough,Price
City of London,818316
Barking and Dagenham,273920
Barnet,525940
Bexley,321564
Brent,489469
Bromley,428008
Camden,807119
Croydon,355847
Ealing,476441
Enfield,385490
Greenwich,372738
Hackney,537746
Hammersmith and Fulham,755098
Haringey,527677
Harrow,453862
Havering,341804
Hillingdon,400791
Hounslow,386462
Islington,642137
Kensington and Chelsea,1276235
Kingston upon Thames,483333
Lambeth,514562
Lewisham,402649
Merton,500267
Newham,347957
Redbridge,391837
Richmond upon Thames,653761
Southwark,510331
Sutton,365303
Tower Hamlets,457130
Waltham Forest,413149
Wandsworth,608741
Westminster,995543
