Borough,Price
City of London,463931
Barking and Dagenham,163465
Barnet,338978
Bexley,200672
Brent,298964
Bromley,274874
Camden,554393
Croydon,215428
Ealing,302307
Enfield,241991
Greenwich,229295
Hackney,308698
Hammersmith and Fulham,518574
Haringey,326468
Harrow,296478
Havering,219559
Hillingdon,251782
Hounslow,264605
Islington,424104
Kensington and Chelsea,908565
Kingston upon Thames,312074
Lambeth,304030
Lewisham,228018
Merton,306063
Newham,207664
Redbridge,261966
Richmond upon Thames,434537
Southwark,312540
Sutton,233027
Tower Hamlets,287262
Waltham Forest,220905
Wandsworth,386200
Westminster,632514
