Borough,Price
City of London,453662
Barking and Dagenham,166560
Barnet,333128
Bexley,200874
Brent,289562
Bromley,271049
Camden,513221
Croydon,218639
Ealing,292825
Enfield,242127
Greenwich,229069
Hackney,300491
Hammersmith and Fulham,502256
Haringey,314479
Harrow,292166
Havering,220413
Hillingdon,247991
Hounslow,257449
Islington,398055
Kensington and Chelsea,837314
Kingston upon Thames,304310
Lambeth,297167
Lewisham,225582
Merton,299999
Newham,204467
Redbridge,252334
Richmond upon Thames,420083
Southwark,293913
Sutton,233489
Tower Hamlets,282748
Waltham Forest,222102
Wandsworth,374487
Westminster,606698
