Borough,Price
City of London,812465
Barking and Dagenham,316508
Barnet,550729
Bexley,366010
Brent,513736
Bromley,465972
Camden,836070
Croydon,395147
Ealing,506266
Enfield,424015
Greenwich,405292
Hackney,593868
Hammersmith and Fulham,764719
Haringey,575004
Harrow,485927
Havering,390833
Hillingdon,431264
Hounslow,424637
Islington,690302
Kensington and Chelsea,1321816
Kingston upon Thames,513146
Lambeth,533484
Lewisham,438113
Merton,549660
Newham,387750
Redbridge,454083
Richmond upon Thames,711296
Southwark,514765
Sutton,402176
Tower Hamlets,454819
Waltham Forest,477608
Wandsworth,611513
Westminster,962777
