Borough,Price
City of London,525328
Barking and Dagenham,165864
Barnet,358627
Bexley,202546
Brent,314113
Bromley,282025
Camden,586166
Croydon,221817
Ealing,318698
Enfield,247667
Greenwich,236981
Hackney,325493
Hammersmith and Fulham,567082
Haringey,339686
Harrow,304904
Havering,221602
Hillingdon,260476
Hounslow,267958
Islington,442090
Kensington and Chelsea,1009045
Kingston upon Thames,324578
Lambeth,327466
Lewisham,240572
Merton,316743
Newham,212825
Redbridge,265912
Richmond upon Thames,454942
Southwark,331124
Sutton,238842
Tower Hamlets,285453
Waltham Forest,230727
Wandsworth,409392
Westminster,696926
