Borough,Price
City of London,797505
Barking and Dagenham,298338
Barnet,520524
Bexley,336988
Brent,474732
Bromley,436486
Camden,843067
Croydon,365678
Ealing,472620
Enfield,392674
Greenwich,393279
Hackney,554933
Hammersmith and Fulham,718997
Haringey,546130
Harrow,449347
Havering,364652
Hillingdon,404444
Hounslow,401072
Islington,633666
Kensington and Chelsea,1241423
Kingston upon Thames,487328
Lambeth,508149
Lewisham,409017
Merton,505481
Newham,363993
Redbridge,411968
Richmond upon Thames,649443
Southwark,499370
Sutton,371994
Tower Hamlets,438288
Waltham Forest,430835
Wandsworth,588496
Westminster,955999
