Borough,Price
City of London,709385
Barking and Dagenham,201172
Barnet,430363
Bexley,244460
Brent,394687
Bromley,347857
Camden,756486
Croydon,274827
Ealing,400039
Enfield,294516
Greenwich,298352
Hackney,456388
Hammersmith and Fulham,721100
Haringey,435808
Harrow,360796
Havering,259267
Hillingdon,305782
Hounslow,324526
Islington,585171
Kensington and Chelsea,1288406
Kingston upon Thames,406106
Lambeth,433625
Lewisham,315813
Merton,419977
Newham,258312
Redbridge,304162
Richmond upon Thames,577055
Southwark,427768
Sutton,291132
Tower Hamlets,382242
Waltham Forest,314934
Wandsworth,544515
Westminster,922702
