Borough,Price
City of London,908676
Barking and Dagenham,343340
Barnet,584510
Bexley,390222
Brent,537189
Bromley,498780
Camden,853200
Croydon,411981
Ealing,507196
Enfield,440723
Greenwich,423549
Hackney,622262
Hammersmith and Fulham,727586
Haringey,600636
Harrow,509490
Havering,419442
Hillingdon,441666
Hounslow,455272
Islington,704825
Kensington and Chelsea,1313421
Kingston upon Thames,544956
Lambeth,551811
Lewisham,460777
Merton,564255
Newham,412149
Redbridge,469402
Richmond upon Thames,752191
Southwark,534024
Sutton,432087
Tower Hamlets,452537
Waltham Forest,499472
Wandsworth,622169
Westminster,1006072
