Borough,Population
Barking and Dagenham,53
Barnet,42
Bexley,39
Brent,73
Bromley,21
Camden,103
City of London,25
Croydon,43
Ealing,61
Enfield,39
Greenwich,55
Hackney,133
Hammersmith and Fulham,110
Haringey,88
Harrow,48
Havering,21
Hillingdon,24
Hounslow,46
Islington,142
Kensington and Chelsea,129
Kingston upon Thames,44
Lambeth,116
Lewisham,80
Merton,54
Newham,87
Redbridge,50
Richmond upon Thames,33
Southwark,102
Sutton,44
Tower Hamlets,133
Waltham Forest,68
Wandsworth,90
Westminster,104
