Borough,Population
Barking and Dagenham,62
Barnet,48
Bexley,43
Brent,81
Bromley,23
Camden,120
City of London,28
Croydon,47
Ealing,68
Enfield,43
Greenwich,63
Hackney,154
Hammersmith and Fulham,123
Haringey,99
Harrow,53
Havering,24
Hillingdon,28
Hounslow,52
Islington,166
Kensington and Chelsea,134
Kingston upon Thames,50
Lambeth,128
Lewisham,92
Merton,58
Newham,102
Redbridge,57
Richmond upon Thames,36
Southwark,116
Sutton,49
Tower Hamlets,169
Waltham Forest,76
Wandsworth,100
Westminster,123
