Borough,Population
Barking and Dagenham,59
Barnet,46
Bexley,41
Brent,78
Bromley,22
Camden,116
City of London,26
Croydon,45
Ealing,63
Enfield,42
Greenwich,60
Hackney,148
Hammersmith and Fulham,112
Haringey,96
Harrow,51
Havering,23
Hillingdon,27
Hounslow,50
Islington,160
Kensington and Chelsea,131
Kingston upon Thames,48
Lambeth,125
Lewisham,88
Merton,56
Newham,98
Redbridge,54
Richmond upon Thames,35
Southwark,112
Sutton,47
Tower Hamlets,160
Waltham Forest,73
Wandsworth,95
Westminster,118
