Borough,Population
Barking and Dagenham,60
Barnet,46
Bexley,42
Brent,79
Bromley,22
Camden,117
City of London,27
Croydon,46
Ealing,64
Enfield,42
Greenwich,61
Hackney,150
Hammersmith and Fulham,114
Haringey,97
Harrow,51
Havering,23
Hillingdon,27
Hounslow,50
Islington,163
Kensington and Chelsea,132
Kingston upon Thames,48
Lambeth,126
Lewisham,89
Merton,56
Newham,99
Redbridge,54
Richmond upon Thames,35
Southwark,113
Sutton,48
Tower Hamlets,164
Waltham Forest,74
Wandsworth,96
Westminster,120
