Borough,Population
Barking and Dagenham,63
Barnet,48
Bexley,43
Brent,81
Bromley,23
Camden,120
City of London,29
Croydon,48
Ealing,70
Enfield,44
Greenwich,64
Hackney,156
Hammersmith and Fulham,126
Haringey,100
Harrow,53
Havering,25
Hillingdon,28
Hounslow,52
Islington,166
Kensington and Chelsea,135
Kingston upon Thames,50
Lambeth,129
Lewisham,93
Merton,58
Newham,103
Redbridge,57
Richmond upon Thames,36
Southwark,117
Sutton,50
Tower Hamlets,173
Waltham Forest,77
Wandsworth,102
Westminster,124
