Borough,Population
Barking and Dagenham,58
Barnet,45
Bexley,41
Brent,77
Bromley,22
Camden,114
City of London,26
Croydon,45
Ealing,62
Enfield,42
Greenwich,60
Hackney,146
Hammersmith and Fulham,111
Haringey,95
Harrow,50
Havering,23
Hillingdon,26
Hounslow,49
Islington,158
Kensington and Chelsea,130
Kingston upon Thames,48
Lambeth,124
Lewisham,87
Merton,55
Newham,96
Redbridge,54
Richmond upon Thames,34
Southwark,110
Sutton,47
Tower Hamlets,157
Waltham Forest,72
Wandsworth,93
Westminster,116
