Borough,Population
Barking and Dagenham,54
Barnet,43
Bexley,39
Brent,74
Bromley,21
Camden,105
City of London,24
Croydon,43
Ealing,62
Enfield,40
Greenwich,56
Hackney,135
Hammersmith and Fulham,109
Haringey,89
Harrow,48
Havering,22
Hillingdon,25
Hounslow,47
Islington,145
Kensington and Chelsea,129
Kingston upon Thames,45
Lambeth,117
Lewisham,82
Merton,54
Newham,88
Redbridge,51
Richmond upon Thames,33
Southwark,104
Sutton,45
Tower Hamlets,138
Waltham Forest,69
Wandsworth,91
Westminster,106
