Borough,Population
Barking and Dagenham,51
Barnet,40
Bexley,38
Brent,70
Bromley,21
Camden,98
City of London,25
Croydon,41
Ealing,60
Enfield,38
Greenwich,53
Hackney,127
Hammersmith and Fulham,110
Haringey,85
Harrow,47
Havering,21
Hillingdon,23
Hounslow,44
Islington,135
Kensington and Chelsea,132
Kingston upon Thames,43
Lambeth,111
Lewisham,78
Merton,53
Newham,83
Redbridge,49
Richmond upon Thames,32
Southwark,98
Sutton,43
Tower Hamlets,126
Waltham Forest,66
Wandsworth,88
Westminster,101
