Borough,Population
Barking and Dagenham,52
Barnet,41
Bexley,38
Brent,72
Bromley,21
Camden,101
City of London,26
Croydon,42
Ealing,61
Enfield,39
Greenwich,54
Hackney,130
Hammersmith and Fulham,112
Haringey,87
Harrow,48
Havering,21
Hillingdon,24
Hounslow,46
Islington,139
Kensington and Chelsea,131
Kingston upon Thames,43
Lambeth,114
Lewisham,79
Merton,54
Newham,86
Redbridge,50
Richmond upon Thames,33
Southwark,100
Sutton,44
Tower Hamlets,130
Waltham Forest,67
Wandsworth,90
Westminster,102
