Borough,Population
Barking and Dagenham,61
Barnet,47
Bexley,42
Brent,80
Bromley,23
Camden,119
City of London,28
Croydon,47
Ealing,67
Enfield,43
Greenwich,62
Hackney,153
Hammersmith and Fulham,120
Haringey,98
Harrow,52
Havering,24
Hillingdon,28
Hounslow,51
Islington,164
Kensington and Chelsea,133
Kingston upon Thames,50
Lambeth,128
Lewisham,91
Merton,57
Newham,101
Redbridge,56
Richmond upon Thames,35
Southwark,115
Sutton,49
Tower Hamlets,168
Waltham Forest,75
Wandsworth,99
Westminster,122
