Borough,Population
Barking and Dagenham,60
Barnet,47
Bexley,42
Brent,80
Bromley,22
Camden,118
City of London,28
Croydon,46
Ealing,65
Enfield,42
Greenwich,62
Hackney,152
Hammersmith and Fulham,116
Haringey,98
Harrow,52
Havering,23
Hillingdon,27
Hounslow,51
Islington,163
Kensington and Chelsea,133
Kingston upon Thames,49
Lambeth,127
Lewisham,90
Merton,56
Newham,100
Redbridge,55
Richmond upon Thames,35
Southwark,114
Sutton,48
Tower Hamlets,166
Waltham Forest,75
Wandsworth,97
Westminster,121
