Borough,Population
Barking and Dagenham,55
Barnet,43
Bexley,40
Brent,74
Bromley,21
Camden,108
City of London,24
Croydon,44
Ealing,62
Enfield,40
Greenwich,57
Hackney,138
Hammersmith and Fulham,109
Haringey,91
Harrow,49
Havering,22
Hillingdon,25
Hounslow,48
Islington,149
Kensington and Chelsea,129
Kingston upon Thames,46
Lambeth,119
Lewisham,83
Merton,54
Newham,90
Redbridge,52
Richmond upon Thames,34
Southwark,105
Sutton,45
Tower Hamlets,144
Waltham Forest,69
Wandsworth,91
Westminster,109
