Borough,Crime
City of London,3
Barking and Dagenham,31
Barnet,43
Bexley,25
Brent,47
Bromley,35
Camden,41
Croydon,52
Ealing,46
Enfield,45
Greenwich,40
Hackney,49
Hammersmith and Fulham,30
Haringey,45
Harrow,25
Havering,28
Hillingdon,40
Hounslow,38
Islington,40
Kensington and Chelsea,28
Kingston upon Thames,18
Lambeth,49
Lewisham,44
Merton,22
Newham,51
Redbridge,36
Richmond upon Thames,20
Southwark,51
Sutton,20
Tower Hamlets,50
Waltham Forest,36
Wandsworth,40
Westminster,76
