Borough,Crime
City of London,5
Barking and Dagenham,26
Barnet,36
Bexley,20
Brent,41
Bromley,32
Camden,41
Croydon,45
Ealing,40
Enfield,35
Greenwich,32
Hackney,40
Hammersmith and Fulham,31
Haringey,36
Harrow,19
Havering,25
Hillingdon,35
Hounslow,32
Islington,40
Kensington and Chelsea,28
Kingston upon Thames,15
Lambeth,52
Lewisham,35
Merton,19
Newham,44
Redbridge,32
Richmond upon Thames,17
Southwark,47
Sutton,17
Tower Hamlets,42
Waltham Forest,32
Wandsworth,35
Westminster,77
