Borough,Crime
City of London,6
Barking and Dagenham,32
Barnet,50
Bexley,30
Brent,50
Bromley,40
Camden,58
Croydon,53
Ealing,50
Enfield,47
Greenwich,45
Hackney,55
Hammersmith and Fulham,38
Haringey,50
Harrow,27
Havering,31
Hillingdon,44
Hounslow,42
Islington,48
Kensington and Chelsea,39
Kingston upon Thames,21
Lambeth,57
Lewisham,47
Merton,24
Newham,56
Redbridge,38
Richmond upon Thames,21
Southwark,63
Sutton,22
Tower Hamlets,56
Waltham Forest,37
Wandsworth,42
Westminster,130
