Borough,Crime
City of London,5
Barking and Dagenham,28
Barnet,39
Bexley,20
Brent,42
Bromley,34
Camden,44
Croydon,46
Ealing,42
Enfield,35
Greenwich,34
Hackney,44
Hammersmith and Fulham,33
Haringey,39
Harrow,20
Havering,27
Hillingdon,35
Hounslow,34
Islington,44
Kensington and Chelsea,30
Kingston upon Thames,16
Lambeth,54
Lewisham,39
Merton,21
Newham,47
Redbridge,31
Richmond upon Thames,18
Southwark,49
Sutton,17
Tower Hamlets,45
Waltham Forest,33
Wandsworth,37
Westminster,77
