Borough,Crime
City of London,6
Barking and Dagenham,29
Barnet,41
Bexley,20
Brent,49
Bromley,35
Camden,54
Croydon,50
Ealing,51
Enfield,36
Greenwich,35
Hackney,43
Hammersmith and Fulham,37
Haringey,38
Harrow,22
Havering,28
Hillingdon,38
Hounslow,37
Islington,43
Kensington and Chelsea,31
Kingston upon Thames,18
Lambeth,57
Lewisham,44
Merton,23
Newham,49
Redbridge,38
Richmond upon Thames,19
Southwark,54
Sutton,18
Tower Hamlets,45
Waltham Forest,39
Wandsworth,37
Westminster,103
