Borough,Crime
City of London,6
Barking and Dagenham,28
Barnet,40
Bexley,22
Brent,45
Bromley,33
Camden,43
Croydon,47
Ealing,44
Enfield,36
Greenwich,37
Hackney,47
Hammersmith and Fulham,33
Haringey,44
Harrow,21
Havering,29
Hillingdon,36
Hounslow,36
Islington,44
Kensington and Chelsea,31
Kingston upon Thames,17
Lambeth,56
Lewisham,40
Merton,22
Newham,48
Redbridge,32
Richmond upon Thames,19
Southwark,51
Sutton,17
Tower Hamlets,48
Waltham Forest,33
Wandsworth,40
Westminster,79
