Borough,Crime
City of London,6
Barking and Dagenham,29
Barnet,44
Bexley,25
Brent,50
Bromley,37
Camden,51
Croydon,49
Ealing,44
Enfield,43
Greenwich,40
Hackney,50
Hammersmith and Fulham,35
Haringey,48
Harrow,23
Havering,31
Hillingdon,40
Hounslow,40
Islington,45
Kensington and Chelsea,34
Kingston upon Thames,20
Lambeth,55
Lewisham,42
Merton,23
Newham,56
Redbridge,37
Richmond upon Thames,21
Southwark,56
Sutton,19
Tower Hamlets,53
Waltham Forest,37
Wandsworth,41
Westminster,99
