Borough,Crime
City of London,4
Barking and Dagenham,26
Barnet,36
Bexley,19
Brent,40
Bromley,31
Camden,44
Croydon,45
Ealing,42
Enfield,34
Greenwich,31
Hackney,42
Hammersmith and Fulham,31
Haringey,33
Harrow,19
Havering,25
Hillingdon,30
Hounslow,31
Islington,39
Kensington and Chelsea,28
Kingston upon Thames,15
Lambeth,52
Lewisham,37
Merton,20
Newham,44
Redbridge,32
Richmond upon Thames,17
Southwark,51
Sutton,16
Tower Hamlets,43
Waltham Forest,35
Wandsworth,37
Westminster,87
