Borough,Crime
City of London,9
Barking and Dagenham,37
Barnet,50
Bexley,31
Brent,55
Bromley,43
Camden,69
Croydon,60
Ealing,57
Enfield,49
Greenwich,52
Hackney,56
Hammersmith and Fulham,40
Haringey,53
Harrow,27
Havering,37
Hillingdon,44
Hounslow,49
Islington,50
Kensington and Chelsea,43
Kingston upon Thames,23
Lambeth,60
Lewisham,53
Merton,26
Newham,65
Redbridge,41
Richmond upon Thames,23
Southwark,67
Sutton,24
Tower Hamlets,61
Waltham Forest,41
Wandsworth,46
Westminster,152
