Borough,Crime
City of London,8
Barking and Dagenham,35
Barnet,47
Bexley,29
Brent,53
Bromley,40
Camden,60
Croydon,60
Ealing,53
Enfield,50
Greenwich,50
Hackney,55
Hammersmith and Fulham,37
Haringey,49
Harrow,26
Havering,34
Hillingdon,42
Hounslow,43
Islington,48
Kensington and Chelsea,39
Kingston upon Thames,22
Lambeth,56
Lewisham,49
Merton,25
Newham,61
Redbridge,41
Richmond upon Thames,22
Southwark,61
Sutton,24
Tower Hamlets,57
Waltham Forest,40
Wandsworth,42
Westminster,130
