Borough,Crime
City of London,6
Barking and Dagenham,30
Barnet,42
Bexley,24
Brent,49
Bromley,36
Camden,55
Croydon,48
Ealing,45
Enfield,39
Greenwich,40
Hackney,51
Hammersmith and Fulham,35
Haringey,47
Harrow,22
Havering,31
Hillingdon,40
Hounslow,39
Islington,51
Kensington and Chelsea,33
Kingston upon Thames,18
Lambeth,55
Lewisham,40
Merton,23
Newham,53
Redbridge,37
Richmond upon Thames,22
Southwark,54
Sutton,19
Tower Hamlets,50
Waltham Forest,35
Wandsworth,41
Westminster,90
