Borough,Crime
City of London,5
Barking and Dagenham,28
Barnet,40
Bexley,20
Brent,46
Bromley,33
Camden,51
Croydon,51
Ealing,48
Enfield,35
Greenwich,34
Hackney,46
Hammersmith and Fulham,36
Haringey,38
Harrow,22
Havering,27
Hillingdon,34
Hounslow,37
Islington,44
Kensington and Chelsea,33
Kingston upon Thames,17
Lambeth,56
Lewisham,40
Merton,22
Newham,50
Redbridge,36
Richmond upon Thames,19
Southwark,51
Sutton,18
Tower Hamlets,46
Waltham Forest,38
Wandsworth,42
Westminster,100
