Borough,Income
City of London,167000
Barking and Dagenham,31800
Barnet,59100
Bexley,38000
Brent,44100
Bromley,54500
Camden,119000
Croydon,40900
Ealing,46800
Enfield,42800
Greenwich,48900
Hackney,52500
Hammersmith and Fulham,83600
Haringey,57100
Harrow,46500
Havering,40000
Hillingdon,41600
Hounslow,45400
Islington,76600
Kensington and Chelsea,208000
Kingston-upon-Thames,56500
Lambeth,56100
Lewisham,44800
Merton,63000
Newham,36100
Redbridge,42700
Richmond-upon-Thames,90400
Southwark,57800
Sutton,45200
Tower Hamlets,55500
Waltham Forest,40100
Wandsworth,79700
Westminster,133000
