Borough,Income
City of London,175000
Barking and Dagenham,32500
Barnet,62300
Bexley,40100
Brent,46000
Bromley,55300
Camden,122000
Croydon,42500
Ealing,47900
Enfield,45800
Greenwich,50400
Hackney,53600
Hammersmith and Fulham,86700
Haringey,60800
Harrow,48900
Havering,42000
Hillingdon,43000
Hounslow,46800
Islington,78000
Kensington and Chelsea,211000
Kingston-upon-Thames,58300
Lambeth,58000
Lewisham,47000
Merton,66300
Newham,38900
Redbridge,44200
Richmond-upon-Thames,92000
Southwark,59700
Sutton,47900
Tower Hamlets,58100
Waltham Forest,43900
Wandsworth,81300
Westminster,138700
